Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
371020,Reykjanes,12493,Confirmed Eruption,Iceland,3,,1210,,0,,0,,Historical Observations,,,,,,,,63.817,-22.717
372030,Katla,19944,Confirmed Eruption,Iceland,4,?,1210,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
373030,Bardarbunga,12859,Confirmed Eruption,Iceland,,,1210,10,0,,0,,Ice Core,,,,,,,,64.633,-17.516
241100,Ruapehu,14611,Confirmed Eruption,New Zealand,3,,1210,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,-39.28,175.57
372070,Hekla,12733,Confirmed Eruption,Iceland,3,,1206,,12,,4,,Historical Observations,,,,,,,,63.983,-19.666
382050,Terceira,19959,Confirmed Eruption,Portugal,,,1200,300,0,,0,,Tephrochronology,,,,,,,,38.73,-27.32
390030,Deception Island,13179,Confirmed Eruption,Antarctica,,?,1200,,0,,0,,Radiocarbon (uncorrected),,,,,,,,-63.001,-60.652
371040,Brennisteinsfjoll,12514,Confirmed Eruption,Iceland,2,?,1200,,0,,0,,Tephrochronology,,,,,,,,63.933,-21.783
343050,San Salvador,10824,Confirmed Eruption,El Salvador,4,?,1200,,0,,0,,Anthropology,,,,,,,,13.734,-89.294
211050,Vulcano,13464,Confirmed Eruption,Italy,2,,1200,75,0,,0,,Magnetism,,,,,,,,38.404,14.962
283031,Yokodake,17388,Confirmed Eruption,Japan,,,1200,100,0,,0,,Radiocarbon (corrected),,,,,,,,36.087,138.32
300122,Kostakan,19113,Confirmed Eruption,Russia,2,,1200,50,0,,0,,Tephrochronology,,,,,,,,53.83,158.05
300100,Avachinsky,19079,Confirmed Eruption,Russia,,?,1200,,0,,0,,Tephrochronology,,,,,,,,53.256,158.836
323010,Shasta,20637,Confirmed Eruption,United States,,?,1200,,0,,0,,Radiocarbon (uncorrected),,,,,,,,41.409,-122.193
313030,Redoubt,20376,Confirmed Eruption,United States,,,1200,75,0,,0,,Varve Count,,,,,,,,60.485,-152.742
313050,Hayes,20402,Confirmed Eruption,United States,,,1200,300,0,,0,,Tephrochronology,,,,,,,,61.64,-152.411
